,model and manufacturer,age_depre_rate,mileage_depre_rate (*10**6),age_const,mileage_const,model,manufacturer,age_0_price,mileage_0_price
0,ford f-150,-0.1308,-7.364,10.9655,10.7615,f-150,ford,57843.710159789196,47169.369045172156
1,ford escape,-0.1191,-8.536,10.1533,10.1316,escape,ford,25675.692340927722,25124.53153966274
2,ford explorer,-0.1531,-10.454,10.718,10.727,explorer,ford,45161.48947977858,45569.777424909786
3,ford fusion,-0.1274,-8.031,10.0453,9.931,fusion,ford,23047.210002674266,20557.88819412301
4,ford mustang,-0.091,-8.584,10.5313,10.4475,mustang,ford,37470.15393502983,34458.121633772425
5,ford focus,-0.1116,-8.708,9.7805,9.6992,focus,ford,17685.493389386356,16304.558332499155
6,ford edge,-0.1392,-9.781,10.5068,10.4553,edge,ford,36563.28961321909,34727.945929260444
7,ford f-250,-0.1186,-7.328,11.2194,11.161,f-250,ford,74563.0235170601,70333.25429347444
8,ford expedition,-0.1275,-10.659,10.7149,10.9486,expedition,ford,45021.705639287575,56874.36549163574
9,ford f150,-0.1445,-9.615,10.9695,10.8311,f150,ford,58075.548367726675,50569.30243848745
10,ford f-350,-0.1137,-5.875,11.2884,11.033,f-350,ford,79889.52325975777,61882.95145635302
11,ford taurus,-0.1258,-9.328,10.1688,10.0,taurus,ford,26076.765862208038,22026.465794806718
12,ford super duty f-350 srw,-0.1147,-7.098,11.4078,11.3696,super duty f-350 srw,ford,90021.15704827577,86647.20167098036
13,ford f250,-0.0854,-1.163,11.0797,10.5145,f250,ford,64841.428061637045,36845.91364938323
14,ford fusion se,-0.1181,-8.611,9.9696,9.888,fusion se,ford,21366.936866099837,19692.635256874986
15,ford flex,-0.1278,-9.333,10.4936,10.5091,flex,ford,36083.82561451312,36647.48196341743
16,chevrolet silverado 1500,-0.109,-6.65,10.8251,10.7224,silverado 1500,chevrolet,50266.795053533075,45360.637838586415
17,chevrolet equinox,-0.1318,-8.524,10.209,10.1777,equinox,chevrolet,27146.407604107262,26309.884919408232
18,chevrolet silverado,-0.1106,-7.916,10.9039,10.796,silverado,chevrolet,54388.064162889794,48825.10957587918
19,chevrolet cruze,-0.1212,-7.22,9.7944,9.7179,cruze,chevrolet,17933.038198255585,16612.322197006837
20,chevrolet silverado 2500hd,-0.0825,-6.5,10.9296,11.027,silverado 2500hd,chevrolet,55803.9536610474,61512.76541629252
21,chevrolet malibu,-0.1363,-8.716,10.1111,9.9586,malibu,chevrolet,24614.72204425589,21133.188533360426
22,chevrolet tahoe,-0.1126,-8.895,10.8476,10.8324,tahoe,chevrolet,51410.617692313375,50635.085281240885
23,chevrolet impala,-0.0626,-2.569,9.3617,9.0291,impala,chevrolet,11634.149794872148,8342.348079239811
24,chevrolet corvette,-0.0786,-14.054,11.4135,10.9069,corvette,chevrolet,90535.74281965925,54551.47334659716
25,chevrolet traverse,-0.161,-10.382,10.6365,10.6083,traverse,chevrolet,41626.82207923412,40469.34285873998
26,chevrolet camaro,-0.1064,-12.588,10.7576,10.6957,camaro,chevrolet,46985.76676306195,44165.534435982765
27,chevrolet colorado,-0.1157,-7.695,10.5668,10.4488,colorado,chevrolet,38824.2371732384,34502.94632163064
28,chevrolet suburban,-0.1148,-9.064,10.8536,10.913,suburban,chevrolet,51720.00864314748,54885.25433101532
29,chevrolet silverado 1500 lt,-0.1112,-6.819,10.8121,10.7475,silverado 1500 lt,chevrolet,49617.55591565868,46513.59897987295
30,chevrolet equinox lt,-0.1329,-10.047,10.2556,10.2224,equinox lt,chevrolet,28441.36845431753,27512.617593223662
