Avatar,12/10/2009,237000000,"","",""
The Lone Ranger,7/3/2013,255000000,89289910,-165710090,-709387.5323207589
The Alamo,4/7/2004,145000000,25819961,-119180039,-633936.3776595745
Mars Needs Moms,3/9/2011,150000000,38992758,-111007242,-496750.0436306031
Valerian and the City of a Thousand Planets,7/20/2017,197471676,90024292,-107447384,-437633.6821182882
The 13th Warrior,8/27/1999,160000000,61698899,-98301101,-585474.0976771888
The Adventures of Pluto Nash,8/15/2002,100000000,7103973,-92896027,-514089.80077476485
Metropolis,1/10/1927,92620000,650422,-91969578,-5255404.457142857
Cutthroat Island,12/22/1995,98000000,10017322,-87982678,-569835.9974093264
Live by Night,12/25/2016,108000000,22678555,-85321445,-351349.8449590058
Flushed Away,10/22/2006,149000000,64459316,-84540684,-419556.74441687344
Australia,11/18/2008,130000000,49554002,-80445998,-382660.72074129037
Town & Country,4/27/2001,90000000,10372291,-79627709,-448101.907709623
Supernova,1/14/2000,90000000,14828081,-75171919,-445331.2736966824
A Sound of Thunder,5/15/2005,80000000,5989640,-74010360,-380711.72839506174
The Nutcracker: The Untold Story,11/24/2010,90000000,16178959,-73821041,-336807.08918281406
Awake,11/28/2007,86000000,14373825,-71626175,-341018.56348435505
How Do You Know,12/17/2010,120000000,48668907,-71331093,-323903.92011733557
The Great Raid,8/12/2005,80000000,10166502,-69833498,-355567.7087576375
Monkeybone,2/23/2001,75000000,5409517,-69590483,-394951.6628830874
R.I.P.D.,7/18/2013,130000000,61648500,-68351500,-292254.0480680015
The Invasion,8/17/2007,80000000,15071514,-64928486,-311422.5430476282
Foodfight!,6/15/2012,65000000,73706,-64926294,-282930.3636949947
K-19: The Widowmaker,7/19/2002,100000000,35168966,-64831034,-358777.1665744328
The Postman,12/25/1997,80000000,17626234,-62373766,-385976.27475247526
Sphere,2/13/1998,75000000,13100000,-61900000,-382334.7745521927
Osmosis Jones,8/7/2001,75000000,13596911,-61403089,-345932.8957746479
Virus,1/14/1999,75000000,14010690,-60989310,-371206.99939135724
Lolita,9/27/1997,62000000,1060056,-60939944,-377103.61386138614
Monster Trucks,12/21/2016,125000000,64493915,-60506085,-249161.31675719304
Soldier,10/23/1998,75000000,14567883,-60432117,-368488.51829268294
Chill Factor,9/1/1999,70000000,11263966,-58736034,-349827.48064324004
Stealth,7/28/2005,135000000,76932943,-58067057,-295657.1130346232
The Astronaut's Wife,8/26/1999,75000000,19598588,-55401412,-329966.71828469326
Blackhat,1/13/2015,70000000,17752940,-52247060,-223557.9593251379
Upside Down,9/27/2012,60000000,8106475,-51893525,-224339.43462866975
Final Fantasy: The Spirits Within,7/2/2001,137000000,85131830,-51868170,-292215.04225352115
Legends of Oz: Dorothy's Return,6/13/2013,70000000,18662027,-51337973,-219859.07307797726
Rock Dog,7/8/2016,60000000,9420546,-50579454,-210197.70766494342
Hard Rain,1/16/1998,70000000,19870567,-50129433,-309632.0753551575
