Star Wars: The Force Awakens,12/15/2015,245000000,2068223624,1823223624
Titanic,11/18/1997,200000000,1845034188,1645034188
Jurassic World,6/9/2015,150000000,1513528810,1363528810
Furious 7,4/1/2015,190000000,1506249360,1316249360
The Avengers,4/25/2012,220000000,1519557910,1299557910
Harry Potter and the Deathly Hallows: Part 2,7/7/2011,125000000,1342000000,1217000000
Avengers: Age of Ultron,4/22/2015,280000000,1405403694,1125403694
Frozen,11/27/2013,150000000,1274219009,1124219009
Beauty and the Beast,3/16/2017,160000000,1262886337,1102886337
Minions,6/17/2015,74000000,1156730962,1082730962
The Lord of the Rings: The Return of the King,12/1/2003,94000000,1118888979,1024888979
Iron Man 3,4/18/2013,200000000,1215439994,1015439994
The Fate of the Furious,4/12/2017,250000000,1238764765,988764765
Despicable Me 3,6/15/2017,80000000,1020063384,940063384
Transformers: Dark of the Moon,6/28/2011,195000000,1123746996,928746996
Skyfall,10/25/2012,200000000,1108561013,908561013
Captain America: Civil War,4/27/2016,250000000,1153304495,903304495
Despicable Me 2,6/25/2013,76000000,970761885,894761885
Transformers: Age of Extinction,6/25/2014,210000000,1091405097,881405097
Zootopia,2/11/2016,150000000,1023784195,873784195
Toy Story 3,6/16/2010,200000000,1066969703,866969703
Pirates of the Caribbean: Dead Man's Chest,6/20/2006,200000000,1065659812,865659812
Jurassic Park,6/11/1993,63000000,920100000,857100000
Rogue One: A Star Wars Story,12/14/2016,200000000,1056057273,856057273
Harry Potter and the Philosopher's Stone,11/16/2001,125000000,976475550,851475550
The Lord of the Rings: The Two Towers,12/18/2002,79000000,926287400,847287400
Finding Nemo,5/30/2003,94000000,940335536,846335536
The Dark Knight Rises,7/16/2012,250000000,1084939099,834939099
Finding Dory,6/16/2016,200000000,1028570889,828570889
Alice in Wonderland,3/3/2010,200000000,1025491110,825491110
The Dark Knight,7/16/2008,185000000,1004558444,819558444
Star Wars: Episode I - The Phantom Menace,5/19/1999,115000000,924317558,809317558
The Secret Life of Pets,6/18/2016,75000000,875457937,800457937
Ice Age: Dawn of the Dinosaurs,6/29/2009,90000000,886686817,796686817
The Jungle Book,4/7/2016,175000000,966550600,791550600
Harry Potter and the Order of the Phoenix,6/28/2007,150000000,938212738,788212738
E.T. the Extra-Terrestrial,4/3/1982,10500000,792965326,782465326
Ice Age: Continental Drift,6/26/2012,95000000,877244782,782244782
The Lord of the Rings: The Fellowship of the Ring,12/18/2001,93000000,871368364,778368364
Harry Potter and the Chamber of Secrets,11/13/2002,100000000,876688482,776688482
The Hobbit: An Unexpected Journey,11/26/2012,250000000,1021103568,771103568
Shrek 2,5/19/2004,150000000,919838758,769838758
Star Wars,5/25/1977,11000000,775398007,764398007
Harry Potter and the Goblet of Fire,11/5/2005,150000000,895921036,745921036
The Lion King,6/23/1994,45000000,788241776,743241776
Independence Day,6/25/1996,75000000,816969268,741969268
Star Wars: Episode III - Revenge of the Sith,5/17/2005,113000000,850000000,737000000
Deadpool,2/9/2016,58000000,783112979,725112979
The Hunger Games: Catching Fire,11/15/2013,130000000,847423452,717423452
The Twilight Saga: Breaking Dawn - Part 2,11/13/2012,120000000,829000000,709000000
The Hobbit: The Desolation of Smaug,12/11/2013,250000000,958400000,708400000
The Hobbit: The Battle of the Five Armies,12/10/2014,250000000,956019788,706019788
Harry Potter and the Deathly Hallows: Part 1,10/17/2010,250000000,954305868,704305868
Transformers: Revenge of the Fallen,6/19/2009,150000000,836297228,686297228
Harry Potter and the Half-Blood Prince,7/7/2009,250000000,933959197,683959197
Spider-Man,5/1/2002,139000000,821708551,682708551
Inside Out,6/9/2015,175000000,857611174,682611174
Wonder Woman,5/30/2017,149000000,820580447,671580447
Pirates of the Caribbean: On Stranger Tides,5/14/2011,380000000,1045713802,665713802
Inception,7/14/2010,160000000,825532764,665532764
Guardians of the Galaxy Vol. 2,4/19/2017,200000000,863416141,663416141
Pirates of the Caribbean: At World's End,5/19/2007,300000000,961000000,661000000
The Twilight Saga: New Moon,3/15/2009,50000000,709827462,659827462
Harry Potter and the Prisoner of Azkaban,5/31/2004,130000000,789804554,659804554
The Da Vinci Code,5/17/2006,125000000,767820459,642820459
Shrek the Third,5/17/2007,160000000,798958165,638958165
Spectre,10/26/2015,245000000,880674609,635674609
Spider-Man 3,5/1/2007,258000000,890871626,632871626
The Sixth Sense,8/6/1999,40000000,672806292,632806292
The Twilight Saga: Eclipse,6/23/2010,68000000,698491347,630491347
Fantastic Beasts and Where to Find Them,11/16/2016,180000000,809342332,629342332
Fast & Furious 6,5/6/2013,160000000,788679850,628679850
The Hunger Games: Mockingjay - Part 1,11/18/2014,125000000,752100229,627100229
Batman v Superman: Dawn of Justice,3/23/2016,250000000,873260194,623260194
Forrest Gump,7/6/1994,55000000,677945399,622945399
The Hunger Games,3/12/2012,75000000,691210692,616210692
Gravity,9/27/2013,105000000,716392705,611392705
Guardians of the Galaxy,7/30/2014,170000000,773328629,603328629
The Twilight Saga: Breaking Dawn - Part 1,3/15/2011,110000000,712171856,602171856
Madagascar 3: Europe's Most Wanted,6/6/2012,145000000,746921274,601921274
Indiana Jones and the Kingdom of the Crystal Skull,5/21/2008,185000000,786636033,601636033
The Matrix Reloaded,5/15/2003,150000000,738599701,588599701
Shrek Forever After,5/16/2010,165000000,752600867,587600867
Spider-Man 2,6/25/2004,200000000,783766341,583766341
The Passion of the Christ,2/25/2004,30000000,611899420,581899420
Ice Age: The Meltdown,3/23/2006,80000000,660940780,580940780
Maleficent,5/28/2014,180000000,758539785,578539785
Suicide Squad,8/2/2016,175000000,745600054,570600054
2012,10/10/2009,200000000,769653595,569653595
Alice in Wonderland,7/3/1951,3000000,572000000,569000000
Pirates of the Caribbean: Dead Men Tell No Tales,5/23/2017,230000000,794191988,564191988
Up,5/13/2009,175000000,735099082,560099082
Transformers,6/27/2007,150000000,709709780,559709780
Mamma Mia!,7/3/2008,52000000,609841637,557841637
Sing,11/23/2016,75000000,632443719,557443719
Mission: Impossible - Ghost Protocol,12/7/2011,145000000,694713380,549713380
Captain America: The Winter Soldier,3/20/2014,170000000,714766572,544766572
Monsters University,6/20/2013,200000000,743559607,543559607
Dawn of the Planet of the Apes,6/26/2014,170000000,710644566,540644566
Return of the Jedi,5/23/1983,32350000,572700000,540350000
The Incredibles,11/5/2004,92000000,631442092,539442092
The Amazing Spider-Man,6/27/2012,215000000,752215857,537215857
Mission: Impossible - Rogue Nation,7/23/2015,150000000,682330139,532330139
Fifty Shades of Grey,2/11/2015,40000000,571006128,531006128
Star Wars: Episode II - Attack of the Clones,5/15/2002,120000000,649398328,529398328
The Martian,9/30/2015,108000000,630161890,522161890
The Empire Strikes Back,5/17/1980,18000000,538400000,520400000
Logan,2/28/2017,97000000,616801808,519801808
Kung Fu Panda 2,5/25/2011,150000000,665692281,515692281
Pirates of the Caribbean: The Curse of the Black Pearl,7/9/2003,140000000,655011224,515011224
Doctor Strange,10/25/2016,165000000,677718395,512718395
Interstellar,11/5/2014,165000000,675120017,510120017
The Amazing Spider-Man 2,4/16/2014,200000000,705717432,505717432
Kung Fu Panda,6/4/2008,130000000,631744560,501744560
Fast Five,4/20/2011,125000000,626137675,501137675
Men in Black,7/2/1997,90000000,589390539,499390539
Ted,6/29/2012,50000000,549368315,499368315
X-Men: Days of Future Past,5/15/2014,250000000,747862775,497862775
The Hunger Games: Mockingjay - Part 2,11/18/2015,160000000,653428261,493428261
Moana,11/23/2016,150000000,643034466,493034466
Life of Pi,11/20/2012,120000000,609016565,489016565
Big Hero 6,10/24/2014,165000000,652105443,487105443
American Sniper,12/11/2014,58800000,542307423,483507423
Ghost,7/12/1990,22000000,505000000,483000000
Aladdin,11/25/1992,28000000,504050219,476050219
Thor: The Dark World,10/29/2013,170000000,644571402,474571402
Despicable Me,7/8/2010,69000000,543513985,474513985
Hancock,7/1/2008,150000000,624029371,474029371
Ratatouille,6/22/2007,150000000,623722818,473722818
Night at the Museum,10/20/2006,110000000,574480841,464480841
How to Train Your Dragon 2,6/12/2014,145000000,609123048,464123048
Jaws,6/18/1975,7000000,470654000,463654000
War of the Worlds,6/28/2005,132000000,591739379,459739379
Home Alone,11/9/1990,18000000,476684675,458684675
Madagascar,5/25/2005,75000000,532680671,457680671
Madagascar: Escape 2 Africa,10/30/2008,150000000,603900354,453900354
The Smurfs,7/29/2011,110000000,563749323,453749323
The Simpsons Movie,7/25/2007,75000000,527068851,452068851
The Croods,3/20/2013,135000000,585178928,450178928
Casino Royale,11/14/2006,150000000,599045960,449045960
Pretty Woman,3/23/1990,14000000,463000000,449000000
Cinderella,3/12/2015,95000000,543514353,448514353
Iron Man,4/30/2008,140000000,585174222,445174222
Man of Steel,6/12/2013,225000000,662845518,437845518
Meet the Fockers,12/22/2004,80000000,516642939,436642939
I Am Legend,12/14/2007,150000000,585349010,435349010
Sherlock Holmes,12/23/2009,90000000,524028679,434028679
The Exorcist,12/26/1973,8000000,441306145,433306145
Indiana Jones and the Last Crusade,5/24/1989,48000000,474171806,426171806
Shrek,5/16/2001,60000000,484409218,424409218
The Hangover,6/5/2009,35000000,459270619,424270619
Iron Man 2,4/28/2010,200000000,623933331,423933331
Mission: Impossible II,5/24/2000,125000000,546388105,421388105
Terminator 2: Judgment Day,7/1/1991,100000000,520000000,420000000
Dunkirk,7/19/2017,100000000,519876949,419876949
The Day After Tomorrow,5/26/2004,125000000,544272402,419272402
Mrs. Doubtfire,11/24/1993,25000000,441286195,416286195
La La Land,11/29/2016,30000000,445435700,415435700
Armageddon,7/1/1998,140000000,553799566,413799566
Intouchables,11/2/2011,13000000,426480871,413480871
Saving Private Ryan,7/24/1998,70000000,481840909,411840909
The Lego Movie,2/6/2014,60000000,469160692,409160692
Toy Story 2,10/30/1999,90000000,497366869,407366869
Bruce Almighty,5/23/2003,80000000,484572835,404572835
Twister,5/10/1996,92000000,494471524,402471524
Dances with Wolves,11/9/1990,22000000,424208848,402208848
The Matrix,3/30/1999,63000000,463517383,400517383
The King's Speech,9/6/2010,15000000,414211549,399211549
Men in Black 3,5/23/2012,225000000,624026776,399026776
The Revenant,12/25/2015,135000000,532950503,397950503
Rio 2,3/19/2014,103000000,500188435,397188435
Gone with the Wind,12/15/1939,4000000,400176459,396176459
Rio,4/3/2011,90000000,484635760,394635760
Hotel Transylvania 2,9/21/2015,80000000,473226958,393226958
Rise of the Planet of the Apes,8/3/2011,93000000,482860185,389860185
Ant-Man,7/14/2015,130000000,519311965,389311965
Rain Man,12/11/1988,25000000,412800000,387800000
Quantum of Solace,10/30/2008,200000000,586090727,386090727
The Bodyguard,11/25/1992,25000000,411006740,386006740
Kong: Skull Island,3/8/2017,185000000,566652812,381652812
Les Misérables,12/18/2012,61000000,441809770,380809770
Mission: Impossible,5/22/1996,80000000,457696359,377696359
Batman,6/23/1989,35000000,411348924,376348924
Kung Fu Panda 3,1/23/2016,145000000,521170825,376170825
The Boss Baby,3/23/2017,125000000,498814908,373814908
The Bourne Ultimatum,8/3/2007,70000000,442824138,372824138
Raiders of the Lost Ark,6/12/1981,18000000,389925971,371925971
Godzilla,5/14/2014,160000000,529076069,369076069
Mr. & Mrs. Smith,6/7/2005,110000000,478207520,368207520
Alvin and the Chipmunks: The Squeakquel,12/21/2009,75000000,443140005,368140005
X-Men: Apocalypse,5/18/2016,178000000,543934787,365934787
Ocean's Eleven,12/7/2001,85000000,450717150,365717150
My Big Fat Greek Wedding,2/22/2002,5000000,368744044,363744044
Slumdog Millionaire,5/12/2008,15000000,377910544,362910544
Back to the Future,7/3/1985,19000000,381109762,362109762
San Andreas,5/27/2015,110000000,470490832,360490832
Cars 2,6/11/2011,200000000,559852396,359852396
300,12/9/2006,65000000,422610419,357610419
Twilight,11/20/2008,37000000,392616625,355616625
Gladiator,5/1/2000,103000000,457640427,354640427
Brave,6/21/2012,185000000,538983207,353983207
Beauty and the Beast,11/13/1991,25000000,377350553,352350553
Teenage Mutant Ninja Turtles,8/7/2014,125000000,477200000,352200000
Sex and the City,5/12/2008,65000000,415252786,350252786
There's Something About Mary,7/15/1998,23000000,369884651,346884651
Transformers: The Last Knight,6/21/2017,260000000,604942143,344942143
Toy Story,10/30/1995,30000000,373554033,343554033
King Kong,12/14/2005,207000000,550000000,343000000
Robin Hood: Prince of Thieves,6/14/1991,48000000,390493908,342493908
Cars,6/8/2006,120000000,461983149,341983149
Top Gun,5/16/1986,15000000,356830601,341830601
WALL·E,6/22/2008,180000000,521311860,341311860
American Beauty,9/15/1999,15000000,356296601,341296601
Home Alone 2: Lost in New York,11/19/1992,18000000,358991681,340991681
Cast Away,12/22/2000,90000000,429632142,339632142
Signs,8/2/2002,72000000,408247917,336247917
The Mummy,4/16/1999,80000000,415885488,335885488
The Mummy Returns,4/28/2001,98000000,433013274,335013274
Kingsman: The Secret Service,1/29/2015,81000000,414351546,333351546
World War Z,6/20/2013,200000000,531865000,331865000
Tangled,11/24/2010,260000000,591794936,331794936
Taken 2,9/27/2012,45000000,376141306,331141306
How to Train Your Dragon,3/5/2010,165000000,494878759,329878759
The Mask,7/29/1994,23000000,351583407,328583407
National Treasure: Book of Secrets,12/13/2007,130000000,457363168,327363168
Django Unchained,12/25/2012,100000000,425368238,325368238
Charlie and the Chocolate Factory,7/13/2005,150000000,474968763,324968763
The Fugitive,8/6/1993,44000000,368875760,324875760
Ice Age,3/10/2002,59000000,383257136,324257136
Fifty Shades Darker,2/8/2017,55000000,378827494,323827494
Crocodile Dundee,9/26/1986,5000000,328203506,323203506
Troy,5/13/2004,175000000,497409852,322409852
Notting Hill,5/13/1999,42000000,363889678,321889678
Speed,6/9/1994,30000000,350448145,320448145
The Karate Kid,6/10/2010,40000000,357852395,317852395
The Last Samurai,12/5/2003,140000000,456758981,316758981
Black Swan,12/2/2010,13000000,327803731,314803731
The Maze Runner,9/10/2014,34000000,348319861,314319861
Pearl Harbor,5/21/2001,140000000,449220945,309220945
Gone Girl,10/1/2014,61000000,369330363,308330363
Wreck-It Ralph,11/1/2012,165000000,471222889,306222889
Fatal Attraction,9/11/1987,14000000,320145693,306145693
The Conjuring,7/18/2013,13000000,318000141,305000141
Indiana Jones and the Temple of Doom,5/23/1984,28000000,333000000,305000000
What Women Want,12/15/2000,70000000,374111707,304111707
Basic Instinct,3/20/1992,49000000,352927224,303927224
Ice Age: Collision Course,6/23/2016,105000000,408579038,303579038
Apollo 13,6/30/1995,52000000,355237933,303237933
Men in Black II,7/3/2002,140000000,441818803,301818803
Alvin and the Chipmunks,12/13/2007,60000000,361366633,301366633
Beverly Hills Cop,11/29/1984,15000000,316360478,301360478
Catch Me If You Can,12/25/2002,52000000,352114312,300114312
दंगल,12/23/2016,10400000,310000000,299600000
Schindler's List,11/29/1993,22000000,321365567,299365567
Thor,4/21/2011,150000000,449326618,299326618
Hitch,2/10/2005,70000000,368100420,298100420
Tarzan,6/18/1999,150000000,448000000,298000000
X2,4/24/2003,110000000,407711549,297711549
The Flintstones,5/26/1994,46000000,341631208,295631208
Jason Bourne,7/27/2016,120000000,415484914,295484914
The Wolverine,7/23/2013,120000000,415440673,295440673
The Fault in Our Stars,5/16/2014,12000000,307166834,295166834
Se7en,9/22/1995,33000000,327311859,294311859
GoldenEye,11/16/1995,58000000,352194034,294194034
Shark Tale,9/20/2004,75000000,367275019,292275019
The Wolf of Wall Street,12/25/2013,100000000,392000694,292000694
Back to the Future Part II,11/20/1989,40000000,332000000,292000000
Die Another Day,11/17/2002,140000000,431971116,291971116
Oz: The Great and Powerful,3/7/2013,200000000,491868548,291868548
The Devil Wears Prada,6/30/2006,35000000,326551094,291551094
Pocahontas,6/14/1995,55000000,346079773,291079773
Look Who's Talking,10/12/1989,7500000,296000000,288500000
Lethal Weapon 3,5/15/1992,35000000,321731527,286731527
Terminator Genisys,6/23/2015,155000000,440603537,285603537
Happy Feet,11/16/2006,100000000,384335608,284335608
Close Encounters of the Third Kind,11/16/1977,20000000,303788635,283788635
The Mummy,6/6/2017,125000000,407778013,282778013
The Blind Side,11/20/2009,29000000,309208309,280208309
The Conjuring 2,5/13/2016,40000000,320170008,280170008
Beverly Hills Cop II,5/18/1987,20000000,299965036,279965036
The Lorax,3/1/2012,70000000,348840316,278840316
Fast & Furious,4/2/2009,85000000,363164265,278164265
The Sound of Music,3/2/1965,8200000,286214286,278014286
Austin Powers: The Spy Who Shagged Me,6/8/1999,33000000,310940086,277940086
Taken 3,12/16/2014,48000000,325771424,277771424
The Proposal,6/1/2009,40000000,317375031,277375031
Star Trek Into Darkness,5/5/2013,190000000,467365246,277365246
The Angry Birds Movie,5/11/2016,73000000,349779543,276779543
Journey 2: The Mysterious Island,1/19/2012,79000000,355692760,276692760
Die Hard: With a Vengeance,5/19/1995,90000000,366101666,276101666
Jurassic Park III,7/18/2001,93000000,368780809,275780809
Meet the Parents,10/6/2000,55000000,330444045,275444045
The Matrix Revolutions,11/5/2003,150000000,424988211,274988211
Warcraft,5/25/2016,160000000,433677183,273677183
Live Free or Die Hard,6/20/2007,110000000,383531464,273531464
Hotel Transylvania,9/20/2012,85000000,358375603,273375603
Prometheus,5/30/2012,130000000,403170142,273170142
Resident Evil: The Final Chapter,12/23/2016,40000000,312242626,272242626
Rocky IV,11/21/1985,31000000,300473716,269473716
Split,11/15/2016,9000000,276921998,267921998
Alvin and the Chipmunks: Chipwrecked,12/14/2011,75000000,342695435,267695435
101 Dalmatians,11/17/1996,54000000,320689294,266689294
Bambi,8/14/1942,858000,267447150,266589150
Ghostbusters,6/7/1984,30000000,295212467,265212467
Hannibal,2/8/2001,87000000,351692268,264692268
Shakespeare in Love,12/11/1998,25000000,289317794,264317794
As Good as It Gets,12/19/1997,50000000,314178011,264178011
True Lies,7/14/1994,115000000,378882411,263882411
Over the Hedge,4/22/2006,80000000,343397247,263397247
Night at the Museum: Battle of the Smithsonian,5/20/2009,150000000,413106170,263106170
Planet of the Apes,7/25/2001,100000000,362211740,262211740
Chicago,12/26/2002,45000000,306776732,261776732
My Best Friend's Wedding,6/19/1997,38000000,299288605,261288605
xXx: Return of Xander Cage,1/13/2017,85000000,346147658,261147658
Cinderella,3/4/1950,2900000,263591415,260691415
The Chronicles of Narnia: The Voyage of the Dawn Treader,8/13/2010,155000000,415686217,260686217
The Rock,6/6/1996,75000000,335062621,260062621
千と千尋の神隠し,7/20/2001,15000000,274925095,259925095
Who Framed Roger Rabbit,6/21/1988,70000000,329803958,259803958
Scary Movie,7/7/2000,19000000,278019771,259019771
The Hangover Part III,5/23/2013,103000000,362000072,259000072
Pitch Perfect 2,5/7/2015,29000000,287506194,258506194
Liar Liar,3/21/1997,45000000,302710615,257710615
American Pie 2,8/10/2001,30000000,287553595,257553595
Rush Hour 2,8/3/2001,90000000,347325802,257325802
Bridget Jones's Diary,4/13/2001,25000000,281929795,256929795
Rambo: First Blood Part II,5/21/1985,44000000,300400432,256400432
Minority Report,6/20/2002,102000000,358372926,256372926
The Mummy: Tomb of the Dragon Emperor,7/1/2008,145000000,401128639,256128639
Bridesmaids,4/28/2011,32500000,288383523,255883523
Enchanted,11/20/2007,85000000,340487652,255487652
The Full Monty,8/13/1997,3500000,257850122,254350122
The Silence of the Lambs,2/1/1991,19000000,272742922,253742922
A Beautiful Mind,12/11/2001,60000000,313542341,253542341
Rocky III,5/28/1982,17000000,270000000,253000000
Ocean's Twelve,12/9/2004,110000000,362744280,252744280
The Pursuit of Happyness,12/14/2006,55000000,307077295,252077295
Maze Runner: The Scorch Trials,9/9/2015,61000000,311256926,250256926
Neighbors,5/8/2014,18000000,268157400,250157400
Coming to America,6/28/1988,39000000,288752301,249752301
X-Men: The Last Stand,5/24/2006,210000000,459359555,249359555
Inglourious Basterds,8/18/2009,70000000,319131050,249131050
Godzilla,5/20/1998,130000000,379014294,249014294
Annabelle,10/2/2014,6500000,255273813,248773813
Four Weddings and a Funeral,3/9/1994,6000000,254700832,248700832
The Prince,8/22/2014,18000000,266586800,248586800
The Blair Witch Project,7/14/1999,60000,248000000,247940000
Mission: Impossible III,5/3/2006,150000000,397850012,247850012
National Treasure,11/19/2004,100000000,347451894,247451894
Get Out,2/24/2017,5000000,252434250,247434250
The Great Gatsby,5/10/2013,105000000,351040419,246040419
