Less Than Zero,11/6/1987,1,12396383,12396382,1.2396383E7
Modern Times,2/5/1936,1,8500000,8499999,8500000.0
Aquí Entre Nos,3/30/2012,1,2755584,2755583,2755584.0
Nurse 3-D,9/28/2013,10,10000000,9999990,1000000.0
From Prada to Nada,1/28/2011,93,2500000,2499907,26881.720430107525
Paranormal Activity,9/14/2007,15000,193355800,193340800,12890.386666666667
Tarnation,10/19/2003,218,1162014,1161796,5330.339449541284
The Blair Witch Project,7/14/1999,60000,248000000,247940000,4133.333333333333
"\"대�?\"\"While the Kingdom of Korea is under occupation by the Japanese\"",12/16/2015,5000,11083449,11078449,2216.6898
Eraserhead,3/19/1977,10000,7000000,6990000,700.0
猛龍過江,6/1/1972,130000,85000000,84870000,653.8461538461538
Pink Flamingos,3/12/1972,12000,6000000,5988000,500.0
Super Size Me,1/17/2004,65000,28575078,28510078,439.6165846153846
The Gallows,7/10/2015,100000,42664410,42564410,426.6441
Open Water,8/6/2004,130000,54667954,54537954,420.52272307692306
The Texas Chain Saw Massacre,10/1/1974,85000,30859000,30774000,363.0470588235294
Bambi,8/14/1942,858000,267447150,266589150,311.709965034965
Night of the Living Dead,10/1/1968,114000,30000000,29886000,263.1578947368421
Mad Max,4/12/1979,400000,100000000,99600000,250.0
Halloween,10/25/1978,300000,70000000,69700000,233.33333333333334
The Legend of Boggy Creek,8/1/1972,100000,22000000,21900000,220.0
Alice in Wonderland,7/3/1951,3000000,572000000,569000000,190.66666666666666
Joe,7/15/1970,106000,19319254,19213254,182.25711320754718
American Graffiti,8/1/1973,777000,140000000,139223000,180.18018018018017
Let's Do It Again,10/11/1975,70000,11800000,11730000,168.57142857142858
Blood Feast,6/6/1963,24500,4000000,3975500,163.26530612244898
A Ghost Story,7/7/2017,100000,15584255,15484255,155.84255
Once,3/23/2007,160000,20710513,20550513,129.44070625
Snow White and the Seven Dwarfs,12/20/1937,1488423,184925486,183437063,124.24256142239135
Rocky,11/21/1976,1000000,117235147,116235147,117.235147
Clerks,9/13/1994,27000,3151130,3124130,116.70851851851852
Napoleon Dynamite,6/11/2004,400000,46118097,45718097,115.2952425
The Birth of a Nation,2/8/1915,100000,11000000,10900000,110.0
Keeping Mum,12/2/2005,169000,18564702,18395702,109.8503076923077
The Hills Have Eyes,7/22/1977,230000,25000000,24770000,108.69565217391305
Friday the 13th,5/9/1980,550000,59754601,59204601,108.6447290909091
Enter the Dragon,8/17/1973,850000,90000000,89150000,105.88235294117646
Facing the Giants,9/29/2006,100000,10178331,10078331,101.78331
The Devil Inside,1/6/2012,1000000,101758490,100758490,101.75849
Catfish,9/17/2010,30000,3045943,3015943,101.53143333333334
Sweet Sweetback's Baadasssss Song,4/23/1971,150000,15200000,15050000,101.33333333333333
Gone with the Wind,12/15/1939,4000000,400176459,396176459,100.04411475
Lost & Found,4/23/1999,1,100,99,100.0
The Born Losers,8/18/1967,360000,36000000,35640000,100.0
人再囧途之泰囧,12/12/2012,2200000,208000000,205800000,94.54545454545455
The Rocky Horror Picture Show,8/14/1975,1200000,112892319,111692319,94.0769325
Cinderella,3/4/1950,2900000,263591415,260691415,90.89359137931035
The Big Parade,11/5/1925,245000,22000000,21755000,89.79591836734694
The Quiet Ones,4/1/2014,200000,17834867,17634867,89.174335
Saw,10/1/2004,1200000,103911669,102711669,86.5930575
Dawn of the Dead,9/2/1978,650000,55000000,54350000,84.61538461538461
The Evil Dead,10/15/1981,350000,29400000,29050000,84.0
Vixen!,10/15/1968,76000,6000000,5924000,78.94736842105263
Falling From Grace,2/21/1992,3,232,229,77.33333333333333
E.T. the Extra-Terrestrial,4/3/1982,10500000,792965326,782465326,75.52050723809523
My Big Fat Greek Wedding,2/22/2002,5000000,368744044,363744044,73.7488088
The Full Monty,8/13/1997,3500000,257850122,254350122,73.67146342857143
Per un pugno di dollari,9/12/1964,200000,14500000,14300000,72.5
Star Wars,5/25/1977,11000000,775398007,764398007,70.49072790909091
Saturday Night Fever,12/16/1977,3500000,237113184,233613184,67.746624
Jaws,6/18/1975,7000000,470654000,463654000,67.23628571428571
Fireproof,9/26/2008,500000,33456317,32956317,66.912634
Crocodile Dundee,9/26/1986,5000000,328203506,323203506,65.6407012
Insidious,9/13/2010,1500000,97009150,95509150,64.67276666666666
Unfriended,4/17/2015,1000000,62882090,61882090,62.88209
Dr. No,10/4/1962,950000,59600000,58650000,62.73684210526316
Robot Monster,6/25/1953,16000,1000000,984000,62.5
Love Story,12/16/1970,2200000,136400000,134200000,62.0
Primer,10/8/2004,7000,424760,417760,60.68
Weekend,9/22/2011,8000,484592,476592,60.574
The Rescuers,6/22/1977,1200000,71215869,70015869,59.3465575
Paranormal Activity 2,10/20/2010,3000000,177512032,174512032,59.17067733333333
Woodstock,3/26/1970,600000,34505110,33905110,57.508516666666665
Vanishing Point,1/15/1971,1300000,72266306,70966306,55.58946615384615
Macabre,10/1/1958,90000,5000000,4910000,55.55555555555556
The Exorcist,12/26/1973,8000000,441306145,433306145,55.163268125
One Hundred and One Dalmatians,1/25/1961,4000000,215880014,211880014,53.9700035
Pi,7/10/1998,60000,3221152,3161152,53.68586666666667
Ποτέ την Κυριακή,5/24/1960,151000,8000000,7849000,52.980132450331126
Animal House,7/27/1978,2700000,141000000,138300000,52.22222222222222
The Breakfast Club,2/15/1985,1000000,51525171,50525171,51.525171
The Jungle Book,10/17/1967,4000000,205843612,201843612,51.460903
Get Out,2/24/2017,5000000,252434250,247434250,50.48685
Goldfinger,9/17/1964,2500000,124881062,122381062,49.9524248
