Star Wars: The Force Awakens,12/15/2015,245000000,2068223624,1823223624,8744207.267730683
Titanic,11/18/1997,200000000,1845034188,1645034188,1.1438525654060755E7
The Avengers,4/25/2012,220000000,1519557910,1299557910,6612091.943519788
Jurassic World,6/9/2015,150000000,1513528810,1363528810,6342362.951415952
Furious 7,4/1/2015,190000000,1506249360,1316249360,6366254.126179739
Avengers: Age of Ultron,4/22/2015,280000000,1405403694,1125403694,5909899.682512983
Harry Potter and the Deathly Hallows: Part 2,7/7/2011,125000000,1342000000,1217000000,5940103.221465816
Frozen,11/27/2013,150000000,1274219009,1124219009,5467601.272693725
Beauty and the Beast,3/16/2017,160000000,1262886337,1102886337,5164672.330732361
The Fate of the Furious,4/12/2017,250000000,1238764765,988764765,5066025.277682355
Iron Man 3,4/18/2013,200000000,1215439994,1015439994,5217712.309772694
Minions,6/17/2015,74000000,1156730962,1082730962,4846895.346401066
Captain America: Civil War,4/27/2016,250000000,1153304495,903304495,4800854.580421181
Transformers: Dark of the Moon,6/28/2011,195000000,1123746996,928746996,4974048.547728863
The Lord of the Rings: The Return of the King,12/1/2003,94000000,1118888979,1024888979,6071019.962018448
Skyfall,10/25/2012,200000000,1108561013,908561013,4815203.708610422
Transformers: Age of Extinction,6/25/2014,210000000,1091405097,881405097,4580923.806925499
The Dark Knight Rises,7/16/2012,250000000,1084939099,834939099,4709366.300747898
Toy Story 3,6/16/2010,200000000,1066969703,866969703,4894109.4853012
Pirates of the Caribbean: Dead Man's Chest,6/20/2006,200000000,1065659812,865659812,5236657.552825552
Rogue One: A Star Wars Story,12/14/2016,200000000,1056057273,856057273,4374139.604526326
Pirates of the Caribbean: On Stranger Tides,5/14/2011,380000000,1045713802,665713802,4627789.391230461
Finding Dory,6/16/2016,200000000,1028570889,828570889,4274527.025117609
Alice in Wonderland,3/3/2010,200000000,1025491110,825491110,4712063.584691519
Zootopia,2/11/2016,150000000,1023784195,873784195,4317742.302128539
The Hobbit: An Unexpected Journey,11/26/2012,250000000,1021103568,771103568,4447295.821882308
